Quarter,portfolio_id,returns,asset_class,asset_id,psi_t,phi_t,cay_t,T_Bill_Rate,RREL_t,consumption_growth,avg_excess_return
1981 Q1,ME3 BM3,1.037450587817156,equity,size_bm,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.10644941218284387
1981 Q1,ME3 BM4,1.0481936639713585,equity,size_bm,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.09570633602864143
1981 Q1,ME3 BM5,1.0715831407291212,equity,size_bm,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.07231685927087872
1981 Q1,ME4 BM1,0.9818290672282188,equity,size_bm,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.16207093277178108
1981 Q1,ME4 BM2,0.9975466169435282,equity,size_bm,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.14635338305647172
1981 Q1,ME4 BM3,1.0313802857089458,equity,size_bm,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.11251971429105412
1981 Q1,ME4 BM4,1.039993430529079,equity,size_bm,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.10390656947092092
1981 Q1,ME4 BM5,1.045041246776674,equity,size_bm,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.09885875322332582
1981 Q1,BIG LoBM,0.9437572142652154,equity,size_bm,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.2001427857347845
1981 Q1,ME5 BM2,0.9477625279868923,equity,size_bm,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.1961374720131076
1981 Q1,ME5 BM3,0.9859575362724532,equity,size_bm,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.15794246372754672
1981 Q1,ME5 BM4,1.0511071521290656,equity,size_bm,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.09279284787093434
1981 Q1,BIG HiBM,0.9857533042331224,equity,size_bm,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.15814669576687757
1981 Q1,SMALL LoINV,1.0657989224516444,equity,size_inv,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.07810107754835549
1981 Q1,ME1 INV2,1.0740354643132843,equity,size_inv,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.06986453568671558
1981 Q1,ME1 INV3,1.0880698528087522,equity,size_inv,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.05583014719124768
1981 Q1,ME1 INV4,1.0677012295560406,equity,size_inv,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.076198770443959285
1981 Q1,SMALL HiINV,1.0593282073988781,equity,size_inv,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.0845717926011218
1981 Q1,ME2 INV1,1.0300888511436805,equity,size_inv,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.11381114885631938
